order_id,order_date,region,category,unit_price,quantity,discount,sales
1,2025-04-13,South,Electronics,4830.82,8,0.2,30917.25
2,2025-12-15,South,Home,2190.86,10,0.0,21908.6
3,2025-09-28,North,Food,1593.49,6,0.0,9560.94
4,2025-04-17,Central,Electronics,2555.4,5,0.2,10221.6
5,2025-03-13,Central,Food,2225.58,10,0.05,21143.01
6,2025-07-08,East,Electronics,573.04,9,0.05,4899.49
7,2025-01-21,Central,Clothing,3222.09,2,0.0,6444.18
8,2025-04-13,North,Food,1119.39,5,0.1,5037.26
9,2025-05-02,South,Food,3116.96,6,0.05,17766.67
10,2025-08-03,Central,Home,3268.5,7,0.1,20591.55
11,2025-11-27,East,Food,802.52,5,0.05,3811.97
12,2025-03-29,Central,Food,353.68,9,0.05,3023.96
13,2025-04-10,North,Clothing,3914.77,1,0.1,3523.29
14,2025-12-26,East,Food,2326.01,7,0.2,13025.66
15,2025-06-01,Central,Clothing,337.91,10,0.05,3210.14
16,2025-05-11,East,Clothing,4974.59,7,0.05,33081.02
17,2025-05-30,North,Clothing,336.01,4,0.1,1209.64
18,2025-11-05,South,Clothing,3490.42,9,0.2,25131.02
19,2025-09-15,North,Electronics,4919.21,5,0.05,23366.25
20,2025-12-10,North,Home,1233.94,4,0.05,4688.97
21,2025-10-21,North,Electronics,754.13,7,0.2,4223.13
22,2025-07-11,North,Food,650.86,4,0.05,2473.27
23,2025-10-04,South,Electronics,1551.21,3,0.2,3722.9
24,2025-06-10,South,Electronics,550.18,9,0.2,3961.3
25,2025-11-10,East,Food,3476.2,8,0.1,25028.64
26,2025-01-22,Central,Food,358.34,1,0.0,358.34
27,2025-09-10,South,Food,2571.64,7,0.2,14401.18
28,2025-08-24,South,Electronics,4983.65,9,0.1,40367.56
29,2025-12-11,Central,Electronics,4079.15,8,0.0,32633.2
30,2025-02-18,South,Food,3095.34,8,0.05,23524.58
31,2025-02-28,North,Home,1565.96,6,0.0,9395.76
32,2025-06-19,North,Home,3138.28,4,0.2,10042.5
33,2025-07-07,Central,Clothing,2658.86,8,0.2,17016.7
34,2025-09-28,East,Food,2159.11,3,0.2,5181.86
35,2025-07-09,East,Clothing,697.02,9,0.2,5018.54
36,2025-06-24,Central,Home,4438.69,2,0.2,7101.9
37,2025-02-20,Central,Clothing,2276.43,2,0.1,4097.57
38,2025-12-30,North,Food,1013.38,7,0.2,5674.93
39,2025-02-24,East,Food,1870.41,10,0.1,16833.69
40,2025-09-01,South,Food,2099.94,4,0.05,7979.77
41,2025-11-16,North,Electronics,4146.31,10,0.2,33170.48
42,2025-05-11,Central,Clothing,3681.39,8,0.2,23560.9
43,2025-11-03,East,Home,3858.06,9,0.0,34722.54
44,2025-05-15,South,Home,104.6,7,0.05,695.59
45,2025-01-21,South,Home,2109.96,5,0.2,8439.84
46,2025-11-25,North,Electronics,2432.65,8,0.2,15568.96
47,2025-06-16,East,Electronics,145.0,4,0.05,551.0
48,2025-10-01,East,Food,1336.08,2,0.1,2404.94
49,2025-03-30,Central,Home,3813.43,6,0.2,18304.46
50,2025-11-12,East,Electronics,728.69,9,0.0,6558.21
51,2025-01-14,East,Food,2699.79,1,0.2,2159.83
52,2025-08-30,North,Home,1115.25,10,0.0,11152.5
53,2025-09-22,East,Clothing,110.0,7,0.0,770.0
54,2025-12-12,South,Food,1243.95,10,0.2,9951.6
55,2025-02-22,North,Electronics,4880.58,9,0.2,35140.18
56,2025-12-06,North,Electronics,4017.61,10,0.0,40176.1
57,2025-04-02,Central,Food,4799.9,9,0.05,41039.14
58,2025-09-21,East,Food,2464.88,10,0.05,23416.36
59,2025-02-04,Central,Electronics,593.19,3,0.2,1423.66
60,2025-07-25,South,Clothing,2762.4,5,0.1,12430.8
61,2025-03-22,North,Home,2299.17,8,0.05,17473.69
62,2025-02-19,North,Clothing,4229.57,8,0.2,27069.25
63,2025-12-26,North,Food,535.51,4,0.05,2034.94
64,2025-01-02,South,Clothing,2466.79,1,0.1,2220.11
65,2025-02-23,South,Electronics,792.74,1,0.2,634.19
66,2025-04-16,Central,Food,1657.15,4,0.1,5965.74
67,2025-09-17,Central,Home,3699.92,6,0.2,17759.62
68,2025-11-06,Central,Electronics,2406.29,8,0.1,17325.29
69,2025-07-10,East,Electronics,1910.65,6,0.05,10890.71
70,2025-08-06,North,Home,2002.66,9,0.05,17122.74
71,2025-02-13,North,Home,2324.26,9,0.1,18826.51
72,2025-06-11,Central,Clothing,3935.83,2,0.1,7084.49
73,2025-07-21,North,Food,4465.82,10,0.1,40192.38
74,2025-09-27,Central,Home,4778.91,1,0.2,3823.13
75,2025-12-17,East,Home,3945.17,2,0.05,7495.82
76,2025-10-31,East,Food,1611.26,5,0.2,6445.04
77,2025-09-28,South,Home,3456.27,4,0.05,13133.83
78,2025-08-03,East,Home,2216.14,4,0.0,8864.56
79,2025-09-09,Central,Clothing,1310.62,9,0.2,9436.46
80,2025-07-09,East,Electronics,4212.31,8,0.05,32013.56
81,2025-10-23,South,Electronics,240.21,6,0.05,1369.2
82,2025-08-01,North,Electronics,4513.72,1,0.2,3610.98
83,2025-07-27,Central,Electronics,2334.31,2,0.2,3734.9
84,2025-08-25,North,Home,3204.15,6,0.05,18263.66
85,2025-12-04,South,Food,3313.8,2,0.2,5302.08
86,2025-02-22,South,Food,4480.83,10,0.1,40327.47
87,2025-10-07,South,Clothing,3201.51,5,0.2,12806.04
