region,product,value,metric_a,metric_b
North,Widget,96.16,11.02,
North,Gadget,56.61,9.37,
South,Widget,86.05,9.57,
South,Gadget,76.68,10.85,
East,Widget,115.55,10.5,
North,Widget,105.92,10.37,
North,Gadget,35.01,11.71,
South,Widget,107.6,11.0,
South,Gadget,34.63,6.51,
East,Widget,86.66,9.06,
North,Widget,104.58,9.91,
North,Gadget,67.81,8.72,
South,Widget,104.63,10.79,
South,Gadget,50.08,13.44,
East,Widget,108.35,12.39,
North,Widget,90.7,8.52,
North,Gadget,54.84,9.79,
South,Widget,109.48,10.5,
South,Gadget,53.29,8.09,
East,Widget,92.19,12.44,
North,Widget,87.88,10.49,
North,Gadget,66.4,7.02,
South,Widget,100.73,12.61,
South,Gadget,29.78,9.36,
East,Widget,98.41,8.37,
North,Widget,107.46,9.88,
North,Gadget,38.03,11.66,
South,Widget,110.04,11.89,
South,Gadget,81.61,10.72,
East,Widget,101.79,7.4,
North,Widget,109.23,,4.39
North,Gadget,53.21,,3.74
South,Widget,85.49,,4.47
South,Gadget,79.33,,2.97
East,Widget,78.13,,5.24
North,Widget,121.65,,5.58
North,Gadget,31.5,,2.48
South,Widget,105.36,,4.26
South,Gadget,43.2,,5.98
East,Widget,116.53,,5.16
North,Widget,103.69,,5.43
North,Gadget,83.91,,5.62
South,Widget,107.78,,5.55
South,Gadget,36.48,,6.28
East,Widget,114.33,,5.53
North,Widget,70.39,,4.37
North,Gadget,72.63,,3.19
South,Widget,97.24,,6.02
South,Gadget,40.33,,6.61
East,Widget,108.28,,4.85
North,Widget,104.87,,5.65
North,Gadget,61.81,,6.15
South,Widget,90.08,,4.59
South,Gadget,75.63,,5.03
East,Widget,86.79,,5.95
North,Widget,121.98,,4.56
North,Gadget,39.3,,4.87
South,Widget,97.76,,4.7
South,Gadget,81.07,,3.97
East,Widget,118.91,,3.73
